#TWNHSE,"Off-Market on 12/10/2013 at $20,000",2 beds,3 baths,
TOWNHOUSE,"Off-Market on 08/04/2015 at $15,000",2 beds,3.5 baths,
#TH,"Off-Market on 11/18/2015 at $6,500,000",3 beds,3.5 baths,"3,231 ftsq"
