#3N,"Off-Market on 06/16/2018 at $3,700",1 bed,1 bath,
#3S,"Listed for rent at $5,335",2 beds,1 bath,900 ftsq
#4B,"Off-Market on 08/10/2010 at $2,995",1 bed,1 bath,700 ftsq
#4N,"Off-Market on 06/11/2017 at $7,400",3 beds,2 baths,
#4S,"Off-Market on 05/15/2018 at $3,700",1 bed,1 bath,800 ftsq
#5N,"Off-Market on 04/11/2018 at $5,750",2 beds,2 baths,
#5S,"Off-Market on 04/01/2018 at $3,700",1 bed,1 bath,600 ftsq
#6B,"Off-Market on 09/17/2010 at $3,250",1 bed,1 bath,700 ftsq
#6N,"Off-Market on 04/26/2013 at $5,800",3 beds,2 baths,"1,200 ftsq"
#6S,"Off-Market on 09/03/2009 at $2,970",1 bed,1 bath,
#7,"Off-Market on 03/16/2010 at $5,500",3 beds,2 baths,
#7S,"Off-Market on 06/10/2017 at $7,995",3 beds,2 baths,
#COMM1,Off-Market,,,
#COMM2,Off-Market,,,
#COMM3,Off-Market,,,
#4N/5N,"Off-Market on 08/22/2012 at $6,000",3 beds,2 baths,"1,000 ftsq"
#PROF,"Off-Market on 06/03/2010 at $5,900",1 bed,1 bath,"1,690 ftsq"
#RESID,Off-Market,,,
#6N7N,Off-Market,,,
#STORE,"Off-Market on 08/10/2010 at $9,000",studio,1 bath,"2,500 ftsq"
STORE-FRONT,"Off-Market on 06/03/2010 at $7,000",studio,1 bath,"1,300 ftsq"
#PH,"Off-Market on 02/02/2013 at $8,000",3 beds,2 baths,"1,050 ftsq"
