#312,"Sold on 05/09/2011 for $997,000",2 beds,2 baths,"1,250 ftsq"
#313,"Off-Market on 04/05/2018 at $3,400",1 bed,1 bath,700 ftsq
#314,"Off-Market on 05/07/2018 at $2,575",1 bed,1 bath,
#315,"Off-Market on 08/31/2015 at $3,500",2 beds,1 bath,
#316,"Sold on 07/23/2013 for $773,870",1 bed,1 bath,831 ftsq
#317,"Sold on 03/28/2014 for $651,680",studio,1 bath,648 ftsq
#318,"Sold on 07/29/2013 for $590,000",1 bed,1 bath,681 ftsq
#319,"Off-Market on 11/24/2014 at $3,150",1 bed,1 bath,770 ftsq
#320,"Sold on 07/08/2015 for $895,000",1 bed,1 bath,838 ftsq
#322,"Off-Market on 08/10/2016 at $3,295",1 bed,1 bath,825 ftsq
#323,"Off-Market on 03/09/2018 at $3,450",2 beds,1 bath,854 ftsq
#324,"Sold on 09/08/2008 for $946,972",1 bed,2 baths,"1,026 ftsq"
#325,"Sold on 10/08/2015 for $1,043,706",studio,1 bath,"1,096 ftsq"
#326,"Off-Market on 09/14/2018 at $3,695",2 beds,1 bath,"2,267 ftsq"
#401,"Sold on 02/02/2015 for $1,642,500",3 beds,3 baths,"1,544 ftsq"
#402,"Sold on 05/31/2012 for $605,000",1 bed,1 bath,733 ftsq
#403,"Sold on 06/14/2012 for $605,000",1 bed,1 bath,649 ftsq
#404,"Off-Market on 09/17/2017 at $4,195",2 beds,2 baths,920 ftsq
#405,"Sold on 09/28/2011 for $1,060,000",3 beds,2 baths,"1,312 ftsq"
#406,Sold on 07/07/2014 for $0,2 beds,2 baths,945 ftsq
#407,"Off-Market on 04/30/2012 at $2,050",studio,1 bath,550 ftsq
#408,"Off-Market on 05/23/2013 at $3,500",1 bed,1 bath,846 ftsq
#409,"Sold on 12/27/2011 for $749,000",studio,2 baths,952 ftsq
#410,"Off-Market on 09/11/2017 at $865,000",2 beds,1 bath,704 ftsq
#411,"Off-Market on 11/22/2016 at $810,000",studio,1 bath,791 ftsq
#412,"Sold on 03/03/2014 for $1,303,360",,,
#413,Sold on 12/22/2017 for $0,1 bed,1 bath,701 ftsq
#414,"Sold on 04/22/2009 for $495,000",,,
#415,"Listed for sale at $725,000",1 bed,1 bath,700 ftsq
#416,"Sold on 05/20/2016 for $1,300,000",2.5 beds,2 baths,
#417,"Off-Market on 05/30/2016 at $2,995",studio,1 bath,650 ftsq
#418,"Sold on 08/15/2008 for $600,767",studio,1 bath,681 ftsq
#419,"Sold on 03/22/2012 for $670,000",1 bed,1 bath,784 ftsq
#420,"Sold on 08/21/2008 for $785,000",1 bed,1 bath,838 ftsq
#421,"Off-Market on 06/08/2015 at $2,950",studio,1 bath,657 ftsq
#422,"Sold on 06/05/2018 for $873,000",studio,1 bath,825 ftsq
#423,"Off-Market on 06/02/2017 at $3,495",2 beds,1 bath,900 ftsq
#424,"Off-Market on 10/20/2018 at $4,500",2 beds,2 baths,"1,026 ftsq"
#425,"Sold on 11/15/2012 for $905,000",studio,1 bath,"1,096 ftsq"
#426,"Sold on 08/29/2012 for $1,739,000",3 beds,3 baths,"2,276 ftsq"
#501,"Off-Market on 07/20/2018 at $3,525",studio,1 bath,807 ftsq
#502,"Sold on 06/19/2009 for $538,000",studio,1 bath,
#503,"Off-Market on 11/29/2011 at $2,650",studio,1 bath,625 ftsq
#504,"Off-Market on 10/03/2018 at $3,500",1 bed,1 bath,712 ftsq
#505,"Sold on 07/15/2011 for $970,000",2 beds,2 baths,"1,120 ftsq"
#506,"Sold on 09/02/2008 for $807,300",,,
#507,"Sold on 11/17/2014 for $852,000",1 bed,1 bath,693 ftsq
#508,"Off-Market on 09/26/2016 at $2,500",studio,1 bath,500 ftsq
#509,"Off-Market on 10/19/2018 at $3,700",2 beds,1 bath,
#510,"Off-Market on 12/06/2018 at $2,700",1 bed,1 bath,500 ftsq
#511,"Sold on 06/17/2013 for $63,374,561",,,
#512,"Sold on 07/09/2018 for $710,500",studio,1 bath,663 ftsq
#513,"Listed for sale at $915,000",1 bed,1 bath,790 ftsq
