#,Off-Market,2 beds,2 baths,800 ftsq
#A,"Off-Market on 11/25/2015 at $2,600",1 bed,1 bath,500 ftsq
#2,"Sold on 08/31/2011 for $3,914,950",,,
#B,"Sold on 09/19/2018 for $850,000",2 beds,2 baths,800 ftsq
#3,"Sold on 08/31/2011 for $3,914,950",,,
#4A,"Sold on 04/03/2009 for $490,000",,,
#4B,"Off-Market on 01/16/2017 at $1,400",1 bed,,
#5A,Sold on 11/16/2016 for $0,,,
#5B,"Sold on 07/18/2007 for $619,096",,,
#6A,Off-Market,,,
#6B,"Sold on 08/03/2007 for $632,843",,,
#7A,Sold on 11/15/2012 for $0,,,
#7B,"Off-Market on 12/21/2018 at $4,295",3 beds,2 baths,"1,000 ftsq"
#8,"Off-Market on 07/24/2013 at $3,500",2 beds,2 baths,700 ftsq
#8A,"Sold on 12/21/2011 for $495,000",,,
#8B,"Off-Market on 08/24/2013 at $3,500",2 beds,2 baths,700 ftsq
#9A,"Sold on 03/23/2007 for $501,930",,,
#9B,"Sold on 01/23/2007 for $677,136",,,
#10A,"Off-Market on 08/07/2016 at $4,000",2 beds,2 baths,"1,000 ftsq"
#10B,"Off-Market on 09/16/2016 at $3,800",2 beds,2 baths,"1,100 ftsq"
#12,"Off-Market on 03/23/2017 at $1,420,000",3 beds,2 baths,970 ftsq
#12A,"Off-Market on 03/29/2017 at $4,500",3 beds,2 baths,"1,300 ftsq"
#12B,"Sold on 01/08/2016 for $31,000",2 beds,2 baths,960 ftsq
#PHA,"Off-Market on 09/06/2016 at $1,400,000",3 beds,2 baths,"1,350 ftsq"
