#2,"Off-Market on 08/28/2018 at $7,500",2 beds,2 baths,"1,300 ftsq"
#3,"Off-Market on 02/19/2016 at $6,500",2 beds,2 baths,"1,300 ftsq"
#4,"Listed for rent at $6,000",2 beds,1 bath,"1,300 ftsq"
#5,"Off-Market on 10/30/2016 at $6,300",2 beds,1 bath,"1,300 ftsq"
FLRS345,"Off-Market on 01/17/2014 at $8,500,000",6 beds,3 baths,
#2345,"Off-Market on 08/08/2013 at $7,800,000",7 beds,4 baths,"6,000 ftsq"
