#2,Off-Market,,,
#2A,"Off-Market on 06/06/2017 at $3,725",1 bed,1 bath,650 ftsq
#2B,"Off-Market on 05/07/2018 at $4,150",1 bed,1 bath,650 ftsq
#3,"Off-Market on 09/20/2017 at $3,895",1 bed,1 bath,
#3A,"Off-Market on 11/15/2017 at $3,750",1 bed,1 bath,650 ftsq
#3B,"Off-Market on 09/04/2018 at $4,250",1 bed,1 bath,650 ftsq
#B3,"Off-Market on 08/28/2017 at $3,895",1 bed,1 bath,650 ftsq
#3F,"Off-Market on 11/30/2017 at $3,950",1 bed,1 bath,
#3R,"Off-Market on 09/24/2012 at $3,250",1 bed,1 bath,
#4,"Off-Market on 11/17/2016 at $3,825",1 bed,,650 ftsq
#4A,"Off-Market on 03/13/2015 at $3,575",1 bed,1 bath,650 ftsq
#4B,"Off-Market on 10/27/2016 at $3,825",1 bed,1 bath,600 ftsq
#5,"Off-Market on 05/25/2017 at $3,825",1 bed,1 bath,650 ftsq
#5A,"Off-Market on 04/13/2016 at $3,795",1 bed,1 bath,650 ftsq
#5B,"Off-Market on 05/17/2017 at $3,825",1 bed,1 bath,650 ftsq
#VERS,Off-Market,,,"2,200 ftsq"
NA_103113,Off-Market,,,
#PHB,Off-Market,,,650 ftsq
