#2,"Off-Market on 03/11/2011 at $3,950",1 bed,1 bath,
#2F,"Off-Market on 07/26/2018 at $4,120",1 bed,1 bath,
#2R,"Off-Market on 06/08/2018 at $3,800",1 bed,1 bath,
#2NE,"Off-Market on 06/19/2018 at $3,483",1 bed,1 bath,
#3,"Off-Market on 10/22/2011 at $2,650",1 bed,1 bath,600 ftsq
#3E,"Off-Market on 08/31/2018 at $3,987",2 beds,1 bath,900 ftsq
#3F,"Off-Market on 08/02/2018 at $4,125",2 beds,1 bath,
#3R,"Listed for rent at $2,808",1 bed,1 bath,
#3FN,"Off-Market on 10/31/2013 at $3,200",2 beds,1 bath,
#APT2F,"Off-Market on  at $4,250",1 bed,1 bath,750 ftsq
#APT3F,"Off-Market on 09/14/2018 at $3,987",2 beds,1 bath,900 ftsq
UNIT-3F,"Off-Market on 07/15/2016 at $4,395",2 beds,1 bath,
#133,"Off-Market on 04/25/2017 at $2,895",1 bed,1 bath,
